### framework  (비판 finding 39 → 반영 22 / 반려 6, all_green=True)
  + DOMContentLoaded 래퍼와 SHELL 존재 확인 분기(21줄) 제거. shell.js 동기 로드 후 직접 SHELL.init() 호출 3줄로 단순화.  [index.html boot script]
  + fs.existsSync(appJsPath) 조건 분기 제거 — 파일 유무 무관하게 동일 stubAppCore() 실행이었으므로 dead branch. 단순 stubAppCore() 호출로 교체.  [boot_harness.js app.js stub 분기]
  + 하니스 커버리지 한계(DOM/mount 미검증) info 항목 명시적 추가. PASS 신호 신뢰도 한계를 리포트에 문서화.  [boot_harness.js 최종 issues]
  (반려 예: app.js __CLF__ 전역 제거 (simplify렌즈 high) | index.html 사이드바 '전체 정복률 0%' 진도바 제거 (UX렌즈 low) | boot_harness.js location hash setter로 라우터 검증 강화 (견)

### card-quiz  (비판 finding 24 → 반영 15 / 반려 7, all_green=True)
  + [CRIT] renderClozeInputs regex fix: /\{\{\d+\}\}/ → /\{\{[^}]+\}\}/ — generate.py의 {{정답|별칭}} 형태 마커도 매칭하여 빈칸 분리 정상화  [plugin.js renderClozeInputs() (구 line 423, 신 split 정규식)]
  + [CRIT] self 모드 btn-reveal 클릭 시 nav-area를 열지 않고 _selfPendingVerdict=true 플래그 설정. btn-next click 핸들러에 if(_state._selfPendingVerdict) return 가드 추가 — O/X 없이 다음 카드로   [plugin.js _bindEvents() btn-reveal 핸들러 self 분기, btn-next 핸들러]
  + [CRIT] self O/X 핸들러 정리: 중복 피드백 로직 제거, O/X 버튼 즉시 숨김(중복 클릭 방지), revealBack이 feedbackArea/verdictDisplay/navArea 일괄 처리하도록 위임  [plugin.js _bindEvents() self O/X 핸들러]
  + [MED] commitAttempt: isCold 캡처를 processAttempt 호출 전으로 이동 — seen_card_ids.has() 타이밍 버그 수정, cold 첫 시도만 세션 통계에 집계  [plugin.js commitAttempt() 최상단]
  + [MED] revealBack cloze 오답 피드백: missed 인덱스 숫자 그대로 표시 대신 '오답 빈칸: 1번, 2번' 형식으로 변환 (card.grade_mode==='cloze' 분기 추가)  [plugin.js revealBack() detail 생성 블록]
  + [MED] _buildUnitFilterUI에 openPanel 파라미터 추가 — UI 빌드와 패널 오픈을 분리. 필터 적용 후 _bootQuiz 재호출 시 패널이 강제 재오픈되던 버그 수정  [plugin.js _buildUnitFilterUI(), _bootQuiz 필터 경로 호출 _buildUni]
  + [MED] progress-io-area를 기본 hidden으로 변경 — 학습 중 상시 노출 제거. StorageQuotaError 시 showStorageError에서, 세션 완료 시 showSessionSummary에서만 노출  [plugin.js _buildHTML() progress-io-area, showStorageError(),]
  + [MED] unmount()에 disabledCards/unitFilter/sessionStats/_selfPendingVerdict 초기화 추가 — subject 전환 시 이전 상태 오염 방지  [plugin.js cardQuizPlugin.unmount()]
  + [MED] DISABLED_CARDS_KEY를 subject별 동적 키로 변경: 'clf:plugin_extra:disabled_cards:' + subject — subject 간 보류 카드 ID 충돌 방지  [plugin.js _disabledCardsKey() 함수 (기존 상수 대체)]
  + [MED] showInputFor unknown mode 폴백: inputSelf 노출 외에 btnReveal.textContent='정답 보기'도 설정 — '정답 확인' 텍스트와 self UI의 혼합 상태 방지  [plugin.js showInputFor() unknown mode else 분기]
  + [MED] judge 객관식 미선택 시 '선택지를 선택해 주세요' 경고 표시 후 채점 중단 — 무언의 오답 판정 방지  [plugin.js _bindEvents() btn-reveal 핸들러 비self 분기 상단]
  + [MED] manifest.js DOMContentLoaded race condition 수정: document.readyState==='loading' 조건 분기 추가 — 이미 발화됐으면 즉시 registerManifest() 재호출. 미등록 시 console.warn 경고 추가  [manifest.js registerManifest() 함수 + 하단 fallback 블록]
  + [MED] Blob URL revoke 타이밍 수정: 동기 즉시 revoke → setTimeout 1000ms 지연 — 비동기 다운로드 대화상자 처리 전 URL 무효화 방지  [plugin.js _bindEvents() btn-progress-export 핸들러]
  + [LOW] 키보드 단축키 핸들러: 포커스 무시 대상에 BUTTON/SELECT 추가 — options 버튼에 포커스된 상태에서 Space가 버튼 click + 다음카드 이동 동시 발화하는 문제 방지  [plugin.js _bindEvents() keydown 핸들러 tag 체크]
  + [Simplify] showQuizActive()를 showEmpty(null) 위임으로 단순화 — showEmpty(null) 분기(quiz-active 복구) 추가로 두 함수 로직 통합  [plugin.js showEmpty() + showQuizActive()]
  (반려 예: simplify: _bootQuiz 두 경로(기본 vs 단원필터) 완전 통합 — APP.i | simplify: _buildHTML 문자열 배열 join을 템플릿 리터럴로 교체 | 견고성: recall_seq answer_spec.sequence 부재 시 showInpu)

### coding  (비판 finding 24 → 반영 22 / 반려 3, all_green=True)
  + _ensurePyodide() 실패 시 _pyodideLoading = null 리셋 — CDN 일시 오류 후 재시도 가능  [plugin.js _ensurePyodide(), p.catch 블록]
  + 타임아웃 판별을 sentinel 객체 비교로 교체 — 문자열 indexOf 매칭 제거  [plugin.js _runOneCase() L149 부근, TIMEOUT_SENTINEL]
  + CDN 로드 실패 에러 메시지에 해결 안내 추가  [plugin.js _ensurePyodide() s.onerror 핸들러]
  + window._pyodide 전역 노출 제거 — 내부에서만 _pyodide 사용, 불필요 전역 오염 제거  [plugin.js _ensurePyodide() doLoad().then 내부]
  + _grade/_gradeExport 65줄 완전 중복 제거 — _gradeWithRunner(activity, code, runnerFn)으로 통합, _grade와 테스트용 _gradeExport 모두 이 공통 함수 호출  [plugin.js _gradeWithRunner() 신규 함수, _grade() 래퍼, 테스트 export ]
  + 런타임 에러(timeout 외) early-exit 추가 — errorMsg 세팅 시 나머지 케이스 skipped 처리, timeout과 동일 패턴  [plugin.js _gradeWithRunner() 케이스 루프 early-exit 조건 `if (error]
  + grading/test_cases 방어 검증 추가 — grading 없거나 test_cases 빈/undefined 시 graceful 결과 반환  [plugin.js _gradeWithRunner() 진입부]
  + getDashboardContrib() activity.tags null guard 추가 — activity.tags 없는 경우 TypeError 방지  [plugin.js getDashboardContrib() by_area 집계 및 weakness 집계 for]
  + _updateProgress() solve_ms 첫 제출 시에만 기록 — 이후 재제출 시 덮어쓰지 않음 (런타임규격 §4-3 conform)  [plugin.js _updateProgress() firstSolveMs 조건부 계산]
  + _installPackages() 완료 후 _safe_modules 갱신 — micropip 설치 패키지가 케이스 간 정리에서 제외됨  [plugin.js _installPackages() .then() 체인 마지막]
  + _buildShellHTML에 tagData 인수 추가 — mount()에서 _collectTags 1회 계산 후 전달, 이중 호출 제거  [plugin.js _buildShellHTML(activities, tagData) 시그니처 및 mount(]
  + 테스트 케이스 패널에서 expected(기대 출력) 제거 — 입력만 공개, 채점 결과표에서 노출 (하드코딩 우회 차단)  [plugin.js _buildTestCasesHTML()]
  + Pyodide 로드 중 버튼 레이블 '로딩 중...' 표시, 로드 완료 후 '실행'/'제출·채점' + 단축키 레이블 복원  [plugin.js _buildShellHTML() 버튼 초기 HTML, mount() _ensurePyodi]
  + solution 전용 div(.coding-solution-area) 분리 — innerHTML += 중복 렌더 버그 제거, set으로 교체  [plugin.js _buildShellHTML() 신규 div, solBtn 클릭 핸들러]
  + 문제 전환 시 .coding-solution-area 초기화 추가  [plugin.js _applyActivity()]
  + 풀이 시간 UI 표시(.coding-solve-time) 제거 — 의미없는 mountTime 기반 수치 UI 비노출 (빼기 미학)  [plugin.js _buildShellHTML() 버튼 영역, mount() submitBtn 핸들러, _a]
  + _state.restored dead state 제거  [plugin.js _state 객체, onProgressRestored()]
  + _applyActivityNavOnly dead alias 제거  [plugin.js (L810-814 삭제)]
  + scoreStart dead var 제거  [plugin.js mount() submitBtn 핸들러]
  + manifest.js DOMContentLoaded 핸들러 항상 등록 — 조건부 등록 제거, 로드 순서 역전 시 복구 경로 확보  [manifest.js L42 이후]
  + 런타임규격 §4-1 및 §7-3 업데이트 — 테스트케이스 expected 비공개 정책, solve_ms 첫 제출 한정, UI 비노출 명시  [규격/coding/런타임규격.md]
  + grade.test.js T3 어서션 추가 — early-exit 동작 검증 (cases[1].error=skipped), 레이블 수정  [엔진/plugins/coding/__tests__/grade.test.js T3]
  (반려 예: Pyodide Worker 격리 — 무한루프 시 메인 스레드 탭 정지 문제 | nav 버튼 레이블을 activity_id 슬러그 대신 front.prompt 첫 줄 또는 | 모범 답안 점진적 공개 (오답 n회 후 노출))

### excel  (비판 finding 26 → 반영 25 / 반려 7, all_green=True)
  + grading.expected 빈 배열 guard 추가 → verdict='incorrect' 반환. 런타임규격 §2-1 minItems:1 위반 입력을 탐지 가능하게 수정.  [plugin.js _runScore() L214 직후]
  + verdict==='timeout'이면 _updateProgress 호출 건너뜀. last_verdict 계약(correct|incorrect|null)을 지키고 타임아웃을 시도 횟수로 산정하지 않음.  [plugin.js score().then() — _updateProgress 호출 전]
  + result.feedback null-guard(fb = result.feedback || {}) 추가. last_verdict를 'correct'|'incorrect'|null 열거로만 기록 (timeout 등 오염값 차단). plugin_extra.last_score 접근을 fb.p  [plugin.js _updateProgress() 진입부]
  + scoreInFlight(채점 중복 클릭 방어)·pendingSnapshot(타이밍 레이스 큐) 필드 추가.  [plugin.js _state 선언부]
  + scoreInFlight 가드 + submitBtn.disabled 토글 추가 → 채점 중 중복 클릭·calculationEnd 구독 누적 방어.  [plugin.js mount() — submitBtn 클릭 핸들러]
  + _switchExcelActivity 호출에 keepResult=true 전달 → 시트는 초기화하되 채점 피드백 영역 보존. 오답 분석 중 피드백 소멸 UX 버그 수정.  [plugin.js mount() — resetBtn 클릭 핸들러]
  + nav-btn·weakness-filter 이벤트를 container 레벨 단일 click 위임으로 통합(기존 per-btn for-loop + _bindWeaknessFilter 재귀 제거). DOM 재생성 후에도 재바인딩 불필요.  [plugin.js mount() — 이벤트 바인딩 전체]
  + _flushPendingRestore() 호출 추가 — onProgressRestored가 mount() 완료 전에 도착한 경우 pendingSnapshot을 flush하여 타이밍 레이스로 인한 무음 복원 실패 수정.  [plugin.js mount() 끝]
  + _state.progress·restored·pendingSnapshot·scoreInFlight 명시적 초기화 추가 → 재마운트 시 싱글턴 오염 방지.  [plugin.js unmount()]
  + univerAPI null 시 즉시 return 대신 pendingSnapshot 큐에 저장 → mount 완료 후 _flushPendingRestore로 처리. _applySnapshotRestore 헬퍼로 분리.  [plugin.js onProgressRestored()]
  + createWorkbook/createUniverSheet 분기 로직을 단일 함수로 추출. _mountUniver·onProgressRestored 두 곳의 중복 코드 제거. API 없으면 throw로 명시적 에러.  [plugin.js _createWorkbook() — 신규 헬퍼]
  + activity.tags null 가드(!activity.tags || !activity.tags.area) 추가 → tags 누락 ActivitySpec이 들어올 때 TypeError로 전체 UI 빈화면 되는 경로 방어.  [plugin.js getDashboardContrib() — by_area·weakness 집계]
  + typeof UniverPresets.createUniver === 'function' 검증 추가 → CDN이 로드됐어도 API 형태가 달라진 경우 감지.  [plugin.js _checkUniver()]
  + keepResult 파라미터 추가 → true이면 resultEl.innerHTML 초기화 생략 (Reset 버튼 전용).  [plugin.js _switchExcelActivity()]
  + isCorrect=false이면 해설 패널 초기 display='block' + 토글 버튼 '해설 닫기 ▾'. 오답 직후 즉시 피드백 제공(인출 강화 루프 수정). 정답 시엔 기존대로 접힘.  [plugin.js _showResult() — 해설 패널]
  + else if (fb.first_fail) 분기 삭제. _runScore는 항상 cell_results를 채우므로 도달 불가한 죽은 코드였음.  [plugin.js _showResult() — 구버전 fallback 블록 제거]
  + 이벤트 위임으로 대체하여 함수 자체 삭제. 재귀 호출로 인한 리스너 누적 버그 근본 제거.  [plugin.js _bindWeaknessFilter() 함수 제거]
  + position:absolute 겹침 아이콘 span 제거. 대신 title 속성에 난이도 텍스트 포함. 시각 노이즈 제거.  [plugin.js _buildNavHTML() — 난이도 아이콘 span]
  + 'EXCEL 실습' 배지 옆에 diff.label(쉬움/중간/어려움) 텍스트를 색상 포함해 표시 → 의사결정에 실제로 쓰이는 위치에 난이도 표시.  [plugin.js _buildHTML() — 문제 지문 배지]
  + entry_url: undefined → null. JSON.stringify 시 키 누락 방지.  [manifest.js L23]
  + 기대값을 verdict='correct' → 'incorrect'로 수정. 규격 금지 입력에 대한 올바른 계약 단언.  [_test_scoring.js — §4 edge case 'empty expected array']
  + undefined → null. manifest.js와 동기화.  [런타임규격.md §1 entry_url]
  + '// v2: 셀 스냅샷 저장 (미구현)' 주석 → cell_snapshot: IWorkbookData | null 타입 선언으로 변경. 구현 완료 상태 반영.  [런타임규격.md §5-3 plugin_extra]
  + '브라우저 실측 선행 권고' → '구현 완료' 표시 + 타이밍 레이스 수정 완료 명시.  [기능백로그.md mid — 진도 셀 스냅샷]
  + low에서 core로 격상. _checkUniver API 형태 검증 추가 완료 명시. index.html CDN URL @x.y.z 지정 필요 액션 아이템 기재.  [기능백로그.md low → core 격상 — CDN 버전 고정]
  (반려 예: bug-lens: settled 변수 선언 누락으로 ReferenceError (L259- | simplify-lens: _buildHTML의 배열+join 패턴을 += 로 통일 | simplify-lens: score() 내 !activity / !univerAPI 이중)

### english  (비판 finding 26 → 반영 14 / 반려 5, all_green=True)
  + SM-2 interval dead branch 제거 — interval 2~6 구간이 EF 무시하고 6에 고착되는 버그 수정. `else if (interval <= 6) { newInterval = 6; }` 삭제 → `else { newInterval = Math.round(inte  [plugin.js _sm2Update() L391-408]
  + _lcsLength 제거 (중복 DP 이중 계산). _wordDiff의 match 카운트로 대체 → DP 행렬 1회 절약. _wordDiff에 200단어 상한 가드 추가.  [plugin.js: _lcsLength 함수 전체 삭제, _wordDiff에 m>200 guard 이동, _]
  + SM-2 비대상 모달의 undefined sm2Fields 오염 제거. 비vocab/grammar 모달에서 `sm2Fields = {}` 단순화 — Object.assign이 기존 값을 덮어쓰지 않으므로 보존됨. undefined 복사→JSON 직렬화 키 소멸 문제 해소.  [plugin.js _updateProgress() SM-2 else if 분기 삭제 (6줄 → 0줄)]
  + LLM JSON parse 마크다운 펜스 제거 + parse 실패 시 incorrect 오채점 대신 pending 반환. gpt-4o-mini 등 JSON mode 미설정 시 ```json``` 래핑 응답으로 score=0/incorrect 오염 방지.  [plugin.js _scoreLlmRubric() L328-331]
  + mount() SM-2 정렬 대상 명시화 — vocab/grammar가 아닌 modality는 Infinity 강제 부여하여 원래 순서 유지. listening/reading/writing/speaking의 due_at이 의도치 않게 정렬에 영향을 주는 경로 차단.  [plugin.js mount() sort 비교 함수]
  + 정렬된 activities 배열을 _state에 보존 (_state.activities). onProgressRestored에서 원본 window.ACTIVITIES 대신 _state.activities 참조 → nav 배지 인덱스 불일치 해소. unmount 시 null 초기화 추가.  [plugin.js: _state 선언, mount(), unmount(), onProgressRestored]
  + TTS voiceschanged race 방어 — Chrome에서 voices 로드 완료 후 onvoiceschanged 미발화 케이스: 500ms setTimeout fallback 추가. ttsBtn disabled 고착 방지.  [plugin.js _loadEnglishActivity() TTS 버튼 클릭 핸들러]
  + speaking STT onresult에서 ansInput을 클로저 캡처 대신 실시간 DOM 재조회 (contentArea.querySelector). 빠른 문항 전환 후 STT 결과가 detached DOM에 쓰이는 경로 차단.  [plugin.js _loadEnglishActivity() rec.onresult 핸들러]
  + getDashboardContrib에 activity.tags null 가드 추가 — tags 없는 ActivitySpec이 있으면 TypeError로 대시보드 전체가 crash하는 경로 방어.  [plugin.js getDashboardContrib() areaMap 루프 및 weakness 루프]
  + listening 오답 시 back.explanation 숨김 — 받아쓰기 첫 오답에 정답 텍스트 즉시 노출하면 재인출 가치 0. correct 달성 시에만 표시.  [plugin.js _renderResult() explanation 표시 조건]
  + writing 히스토리 pending 제외 — LLM 키 부재로 pending 반환 시 5슬롯을 소모하지 않도록 `result.verdict !== 'pending'` 조건 추가.  [plugin.js _updateProgress() writing history 저장 블록]
  + normalize에 유니코드 어포스트로피 정규화 추가 (U+2018 U+2019 U+201A U+201B → ASCII '). Chrome/Edge STT 출력의 curly apostrophe로 인한 오채점 방지.  [plugin.js normalize()]
  + 런타임규격 §1 byok.keys 예시에 llm_endpoint · llm_model 두 키 추가 — 기계검증 V2(keys.length===4)와 §1 코드 예시(2개) 자기모순 해소.  [규격/english/런타임규격.md §1 PluginManifest 선언 코드 블록]
  + test_english.js: _lcsLength 참조 제거, _wordDiff match count 방식으로 전환. _sm2Update dead branch 제거 반영. normalize 유니코드 어포스트로피 반영. interval=6 정답 테스트를 EF 확장 검증으로 교체. 유니코드  [엔진/plugins/english/test_english.js 전체]
  (반려 예: 견고성 렌즈: infra=hybrid + entry_url=null → shell.js _ | 버그 렌즈: _updateProgress에서 ctx.emit('activity-comple | 단순화 렌즈: reading keyword 채점에 word-boundary 강화(\b 기반)

### aws  (비판 finding 20 → 반영 13 / 반려 7, all_green=True)
  + [HIGH] emit('activity-completed') 이중 발사 제거 — score() 내부 xhr.onload의 ctx.emit 블록 삭제. 단일 emit 책임을 gradeBtn click handler(호출자)에 통일.  [plugin.js — score() xhr.onload (구 L703-705)]
  + [HIGH] pending verdict 시 cold_attempts 미증가 — _updateProgress() 진입부에 verdict==='pending' early-return 추가. pending(백엔드 미연결)은 채점 시도가 아니므로 통계에서 제외.  [plugin.js — _updateProgress()]
  + [HIGH] mount()가 헬스체크 완료 전 Promise.resolve() 반환하던 경쟁 조건 수정 — Promise.resolve() 즉시 반환을 new Promise()로 교체. onOnline/onOffline 콜백 내 _buildLayout + _navigateTo 완료 후   [plugin.js — mount()]
  + [HIGH] score() ontimeout/onerror에서 _updateProgress 미호출 수정 — 두 오류 경로 모두 _updateProgress(activityId, r) 호출 추가. pending verdict이므로 _updateProgress 내부에서 cold_attemp  [plugin.js — score() xhr.ontimeout, xhr.onerror]
  + [MED] _applyRestoredProgress 0/0 표시 수정 — details 배열이 비어있을 때 passed/total을 cold_correct/cold_attempts 값으로 대체. '통과 (0/0 체크 통과)' 같은 misleading 표시 제거.  [plugin.js — _applyRestoredProgress()]
  + [MED] getDashboardContrib() tags 필드 누락 방어 추가 — activity.tags.area/subarea/unit 접근 전 (activity.tags && activity.tags.area) || '(미분류)' 가드 삽입. 잘못된 ActivitySpec 하나가  [plugin.js — getDashboardContrib()]
  + [MED] 사이드바 헤더+항목 HTML 3중 복사 → _buildSidebarHTML() 헬퍼로 단일화. _buildLayout, _navigateTo, onProgressRestored 세 곳 모두 헬퍼 호출로 교체. activities.length 참조 타이밍 불일치도 함께 해소.  [plugin.js — _buildSidebarHTML() 신규 추출, _buildLayout / _navig]
  + [MED] 정답 시 해설 자동 노출 제거 → 소프트 넛지로 전환. correct verdict에서 solBody.removeAttribute('hidden') 자동 펼침 대신 '← 풀이를 확인하려면 클릭하세요' 텍스트 넛지만 표시. 인출 강도 유지.  [plugin.js — _showResult() correct 분기]
  + [MED] _find_sns_topic_arn() 헬퍼 추출 — resource-exists SNS / sns_attributes alias / _fetch_resource_config SNS 3곳의 list_topics 페이지네이션 + arn.split(':')[-1] 비교 로직 통합  [grade.py — _find_sns_topic_arn() 신규, _resource_exists SNS / ]
  + [MED] _check_alias() 시그니처에 client 인자 추가 — 내부 make_client() 독립 호출 제거. _config_equals에서 클라이언트 1회 생성 후 전달. 중복 클라이언트 생성 제거.  [grade.py — _check_alias() + _config_equals()]
  + [MED] IAM iam_policy_attached paginator 적용 — list_attached_role_policies / list_attached_user_policies 단일 호출을 get_paginator().paginate() 루프로 교체. 정책 100개 초과 계정에서  [grade.py — _check_alias() iam_policy_attached 분기]
  + [MED] IAM _resource_exists 비-NoSuchEntity ClientError 구분 처리 — get_role / get_user에서 AccessDenied·Throttling 등 권한/기타 오류를 '리소스 없음'으로 오인하지 않도록 code 체크 후 별도 메시지 반환.  [grade.py — _resource_exists() IAM 분기]
  + [MED] 생성규칙.md §8-2 versioning expected 포맷 dict 형식으로 통일 — '"versioning": "Enabled"' (문자열) → '"versioning": {"Status": "Enabled"}' (dict). grade.py의 str 분기에 depre  [규격/aws/생성규칙.md §8-2 / grade.py _check_alias versioning 분기]
  (반려 예: [LOW] _esc() single-quote 이스케이프 미처리 (OWASP XSS 잠재  | [LOW] SNS FIFO 토픽 _resource_exists 매칭 실패 (severity | [MED] grade.py _config_equals dot-notation 분기의 mak)

### ui  (비판 finding 29 → 반영 52 / 반려 9, all_green=True)
  + --ink3 #938c7d → #7a7168 (대비율 ~4.6:1 on --paper, WCAG AA 통과)  [styles.css :root]
  + --accent:var(--brand), --accent-bg:var(--brand-bg), --ok:var(--brand), --ok-bg:var(--brand-bg) 별칭 추가 — 플러그인 --accent/--ok 참조가 규격 토큰으로 연결됨  [styles.css :root]
  + button:focus-visible, a:focus-visible, [tabindex]:focus-visible 전역 포커스 규칙 추가 (outline:3px solid var(--brand), offset:2px) — WCAG 2.4.7 AA  [styles.css global]
  + #read-bar, .bar>i, .progress-bar-fill의 gradient 끝색 #2f9468/#34a472 → var(--brand-deep) — 규격 외 제3 그린 제거  [styles.css gradient]
  + width:100%; text-align:left; background:inherit; border:none; font-family:inherit 추가 — button 요소로 변경 시 기본 스타일 해제  [styles.css .sec-head]
  + .btn-dday-toggle, .btn-dday-toggle[aria-pressed=true], .btn-quiz-aux, .btn-pause-card 클래스 추가 — JS inline style 제거 대응  [styles.css (신규)]
  + .plugin-badge 공통 배지 클래스 추가 (card-type-badge 기준, 5종 통일용)  [styles.css (신규)]
  + .verdict-correct / .verdict-incorrect 공통 결과 래퍼 클래스 추가 (brand-bg/hot-bg + 좌변선)  [styles.css (신규)]
  + .brand-sub ('Leitner · 인출연습 · 자가테스트') 제거 — 매 세션 노이즈, 빼기 미학  [index.html .brand]
  + ★★★최빈출/★★빈출/★심화 칩 → 별 기호만 남기고 텍스트 레이블 제거, aria-label로 접근성 유지  [index.html #freq-chips]
  + sec-head document.createElement('div') → createElement('button') type=button — 키보드 포커스/Enter/Space 활성화 (WCAG 2.1.1 A)  [shell.js _renderConcept]
  + unit-filter-panel background:#f0f4ff → var(--brand-bg), border-radius:6px → var(--r), 버튼 inline style → .btn-quiz-aux 클래스  [card-quiz/plugin.js _buildHTML]
  + D-day 토글/단원 필터 버튼 inline style → .btn-dday-toggle/.btn-quiz-aux 클래스  [card-quiz/plugin.js _buildHTML]
  + hint-text background:#fffde7 → var(--warn-bg), border-color → var(--warn-line) — 파스텔 금지 준수  [card-quiz/plugin.js _buildHTML]
  + back-why-area background:#e8f4fd;border:#1976d2 → var(--blue-bg);var(--blue) — 규격 미등록 색 제거  [card-quiz/plugin.js _buildHTML]
  + session-summary background:#f5f5f5 → var(--surface2) — 무채색 금지 준수  [card-quiz/plugin.js _buildHTML]
  + progress-io-area 전체 제거 (설정 화면 중복 —빼기). 숨김 file input만 유지(import 이벤트 바인딩용)  [card-quiz/plugin.js _buildHTML]
  + btn-pause-card inline style → .btn-pause-card 클래스  [card-quiz/plugin.js _buildHTML]
  + concept-link-btn: <a href='#'> → <button type='button'> — role-behavior 불일치 해소, e.preventDefault() 제거  [card-quiz/plugin.js _buildHTML]
  + options-area role='group' → role='radiogroup'  [card-quiz/plugin.js _buildHTML]
  + judge 선택지 버튼에 role='radio', aria-checked='false/true' 추가, 선택색 #bbdefb/#1976d2 → var(--brand-bg)/var(--brand)  [card-quiz/plugin.js renderJudgeOptions]
  + inline style #666/#ccc → var(--ink3)/var(--line2), border-radius:4px → var(--r)  [card-quiz/plugin.js renderRecallSeqInputs]
  + D-day ON 시 btn.style.background='#ff8f00' 등 JS inline style 주입 제거 → aria-pressed 토글만으로 CSS .btn-dday-toggle[aria-pressed=true] 적용  [card-quiz/plugin.js D-day toggle]
  + progress-io-area 참조 제거 (DOM 없음)  [card-quiz/plugin.js showStorageError]
  + progress-io-area 노출 코드 제거  [card-quiz/plugin.js showSessionSummary]
  + #c62828 → var(--hot,#a8301f) (세션 요약 오답 강조)  [card-quiz/plugin.js]
  + coding-lang-badge → plugin-badge 공통 클래스, background:var(--accent,#0550ae) 제거  [coding/plugin.js _buildProblemHTML]
  + nav btn border-radius:6px → var(--r), select border-radius:5px → var(--r)  [coding/plugin.js _buildShellHTML]
